Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
1389	AROS DE PISTON 1.00M CRYPTON NEW	$1890.00	$3400.00	$0.00	5.00	0.000	- Sin Departamento -
4	AROS DE PISTON GILERA 1,00MM	$2600.00	$4500.00	$0.00	6.00	0.000	- Sin Departamento -
1	AROS DE PISTON GILERA 110 0,25 52,4 	$2340.00	$4500.00	$0.00	8.00	0.000	- Sin Departamento -
2	AROS DE PISTON GILERA 110 0,50 52,4 	$2200.00	$4500.00	$0.00	3.00	0.000	- Sin Departamento -
3	AROS DE PISTON GILERA 110 0,75 FORTE	$2200.00	$4500.00	$0.00	2.00	0.000	- Sin Departamento -
1300	AROS DE PISTON RX 1,50MM 	$1780.00	$3900.00	$0.00	4.00	0.000	- Sin Departamento -
1632	AROS DE PISTON SMASH 0.75MM FORTE	$2600.00	$4500.00	$0.00	0.00	0.000	- Sin Departamento -
1211	AROS DE PISTON SMASH STD OSAKA	$1820.00	$4000.00	$0.00	5.00	0.000	- Sin Departamento -
1386	AROS DE PISTON STD YAMAHA NEW CRYP 	$1890.00	$3400.00	$0.00	2.00	0.000	- Sin Departamento -
5	AROS DE PISTON ZANELLA RX 150 0,25 	$1715.00	$4950.00	$0.00	5.00	2	- Sin Departamento -
6	AROS DE PISTON ZANELLA RX 150 0,50	$1715.00	$4950.00	$0.00	0.00	0.000	- Sin Departamento -
7	AROS DE PISTON ZANELLA RX 150 0,75 	$1715.00	$4950.00	$0.00	2.00	2	- Sin Departamento -
8	AROS DE PISTON ZANELLA RX 150 1,00 	$1715.00	$4950.00	$0.00	3.00	2	- Sin Departamento -
1264	AROS H BIZ 100 - 0,25 FORTE	$3460.00	$5200.00	$0.00	6.00	0.000	- Sin Departamento -
1265	AROS H BIZ 100 0,50 	$2340.00	$4500.00	$0.00	6.00	0.000	- Sin Departamento -
1266	AROS H BIZ 100 0,75 FORTE 	$2340.00	$4500.00	$0.00	12.00	0.000	- Sin Departamento -
1269	AROS H BIZ 100 1,50MM FORTE	$2340.00	$4500.00	$0.00	3.00	0.000	- Sin Departamento -
1270	AROS H BIZ 100 1,75 	$2750.00	$5930.00	$0.00	0.00	0.000	- Sin Departamento -
1267	AROS H BIZ 100/ 1,00MM FORTE	$2650.00	$5190.00	$0.00	6.00	0.000	- Sin Departamento -
1812	AROS H BIZ 100/ 1,25MM FORTE	$1950.00	$4500.00	$0.00	4.00	0.000	- Sin Departamento -
1263	AROS H BIZ100 STD FORTE 	$1950.00	$4200.00	$0.00	4.00	0.000	- Sin Departamento -
1268	AROS HBIZ 100 1,25 YAMASIDA	$3900.00	$6500.00	$0.00	7.00	0.000	- Sin Departamento -
1332	AROS PISTON CG150 0,75MM 	$3100.00	$6000.00	$0.00	2.00	0.000	- Sin Departamento -
1333	AROS PISTON CG150 1,00MM 	$3100.00	$6000.00	$0.00	1.00	0.000	- Sin Departamento -
1325	AROS PISTON CG150 TITAN STD	$3100.00	$6000.00	$0.00	3.00	0.000	- Sin Departamento -
1330	AROS PISTON H CG 150 0,25MM 	$3100.00	$6000.00	$0.00	3.00	0.000	- Sin Departamento -
1331	AROS PISTON H CG 150- 0,50MM	$3100.00	$6000.00	$0.00	2.00	0.000	- Sin Departamento -
1503	AROS RX150 STD FORTE 	$2870.00	$5000.00	$0.00	2.00	0.000	- Sin Departamento -
1490	AROS STD SMASH FORTE 	$2340.00	$4500.00	$0.00	3.00	0.000	- Sin Departamento -
1766	ASIENTO HONDA WAVE NF 	$27950.00	$42000.00	$0.00	1.00	0.000	- Sin Departamento -
1429	ASIENTO SMASH  	$37000.00	$59000.00	$0.00	0.00	0.000	- Sin Departamento -
1434	BAJO ASIENTO SMASH 	$2210.00	$3600.00	$0.00	0.00	0.000	- Sin Departamento -
1407	BAKELITA 110 	$340.00	$1000.00	$0.00	1.00	0.000	- Sin Departamento -
1004169	BALANCIN DE VALVULA BIZ 100 SMASH CNK	$3750.00	$7100.00	$0.00	12.00	1	- Sin Departamento -
 620RX	BALANCIN DE VALVULA RX150 OSAKA	$4210.00	$7000.00	$0.00	4.00	0.000	- Sin Departamento -
1004172	BALANCIN DE VALVULA ZANELLA RX 150 H. CG INFERIOR CNK	$2350.00	$5700.00	$0.00	1.00	0.000	- Sin Departamento -
1734	BALANCIN DE VALVULAS WAVE S/ NAVI	$10340.00	$17000.00	$0.00	2.00	0.000	- Sin Departamento -
 ZZ029	BALANCIN INFERIOR RX150 CON PERNO CATIMOTO	$6580.00	$11500.00	$0.00	4.00	0.000	- Sin Departamento -
 REF1204	BALANCINES HONDA BIZ 125	$7780.00	$12500.00	$0.00	2.00	0.000	- Sin Departamento -
 CKM0555	BALANCINES TITAN 150/XR150 	$13820.00	$22100.00	$0.00	2.00	0.000	- Sin Departamento -
1695	BAQUELITA DE CARBURADOR CRYPTON 	$700.00	$1300.00	$0.00	5.00	0.000	- Sin Departamento -
1835	BARRA LED CON GUIÑOS 	$3000.00	$6500.00	$0.00	9.00	0.000	- Sin Departamento -
1745	BARRA RECTANGULAR 6LED 	$59225.00	$10000.00	$0.00	5.00	0.000	- Sin Departamento -
 SAM2207	BARRALES SMASH (PAR)	$20770.00	$33300.00	$0.00	0.00	0.000	- Sin Departamento -
350	BARRALES SUSPENCION SMASH A TAMBOR 	$37230.00	$67000.00	$0.00	0.00	0.000	- Sin Departamento -
 SAM2100	BARRALES WAVE NEW SET 	$23525.00	$37640.00	$0.00	0.00	0.000	- Sin Departamento -
 SAM2203	BARRALES YAMAHA YBR 125 	$30180.00	$49300.00	$0.00	0.00	0.000	- Sin Departamento -
1363	BATERIA 12N5 GEL OSAKA	$19990.00	$30000.00	$0.00	1.00	0.000	- Sin Departamento -
1869	BATERIA 12N5-3B CON ACIDO	$18920.00	$29000.00	$0.00	5.00	0.000	- Sin Departamento -
1634	BATERIA 12N5-3B YUASA	$33010.00	$52900.00	$0.00	2.00	0.000	- Sin Departamento -
1560	BATERIA 12N7-3B GEL MAHLI	$29770.00	$48000.00	$0.00	2.00	0.000	- Sin Departamento -
1483	BATERIA 12N9-4B CON GEL OSAKA	$33150.00	$53000.00	$0.00	0.00	0.000	- Sin Departamento -
1476	BATERIA YTX5LBS MOURA TITAN 150 BIZ 	$36200.00	$57000.00	$0.00	5.00	0.000	- Sin Departamento -
